S.No.,Property_Name,Price_in_INR,No_of_Bedroom,Property_type,No_of_Bathroom,Carpet_Area(Sq Ft),Garden,Property Status,Parking,Council_Tax
523,"Albert Hall Mansions, Kensington Gore, London, SW7",980592500,5,Apartment,5,4000,Yes,"TENURE
Share of Freehold",Ask agent,Band: H
524,"The Bishops Avenue, London, N2",980592500,8,Detached,7,14000,Ask agent,-,Ask agent,Ask agent
525,"Sutton Court, Fauconberg Road, London",90108500,3,Flat,1,1000,Yes,"TENURE
Share of Freehold",Yes,Band: E
526,"Kensington Gore, London, SW7",980592500,6,Flat,6,4000,Yes,"TENURE
Share of Freehold",Ask agent,Ask agent
527,"Abingdon Road, W8",980592500,5,Town House,5,6000,Yes,-,Yes,Ask agent
528,"Montpelier Square, Knightsbridge, London, SW7",980592500,6,Terraced,5,0,Yes,-,Ask agent,Band: H
529,"Stafford Terrace, Kensington, London",980592500,5,Terraced,3,4000,Yes,-,Ask agent,Band: H
530,21 The Bishops Ave,980592500,8,Detached,7,0,Ask agent,-,Yes,Band: TBC
531,"The Bishops Avenue, N2",980592500,8,Detached,7,0,Ask agent,-,Yes,Ask agent
532,"The Bishops Avenue, London",980592500,6,Detached,7,0,Ask agent,-,Yes,Ask agent
533,"Montpelier Square, Knightsbridge, London, SW7",980592500,5,Terraced,3,4000,Ask agent,-,Ask agent,Band: H
534,"Palace Gardens Terrace, London, W8",980592500,6,Terraced,3,0,Yes,-,Ask agent,Band: H
535,"Abingdon Road, Kensington, London, W8",980592500,5,Terraced,4,6000,Yes,-,Yes,Band: H
536,"Pembridge Crescent, Notting Hill, W11",980592500,3,Apartment,3,3000,Ask agent,"TENURE
Leasehold",Ask agent,Band: H
537,"St Leonard's Terrace, London",980592500,4,House,3,2000,Yes,-,Yes,Band: H
538,"Inverforth House, North End Way, Hampstead, NW3",980592500,4,Apartment,3,3000,Yes,"TENURE
Share of Freehold",Yes,Band: H
539,"Pembridge Crescent, Notting Hill, London, W11",980592500,3,Flat,3,0,Yes,"TENURE
Leasehold",Ask agent,Band: D
540,"Stafford Terrace, Kensington, London, W8.",980592500,5,Terraced,3,0,Yes,-,Ask agent,Band: H
541,Albion Riverside,954090000,6,Penthouse,7,5000,Ask agent,"TENURE
Leasehold",Yes,Band: TBC
542,"Park Modern, Apartment 12, 123 Bayswater Road, London, W2",954090000,3,Apartment,3,2000,Yes,-,Yes,Band: H
543,"Chelsea Waterfront, Chelsea, London, SW10",954090000,5,Flat,5,3000,Yes,"TENURE
Leasehold",Ask agent,Ask agent
545,"Lancelot Place, London, SW7",954090000,3,Flat,3,2000,Ask agent,"TENURE
Leasehold",Yes,Band: H
546,"Boiler House, Battersea Power Station, London SW8",954090000,3,Apartment,4,4000,Yes,-,Yes,Ask agent
547,"Rawlings Street, London, SW3",954090000,5,Terraced,5,3000,Yes,-,Ask agent,Band: H
548,"Wycombe Square, Kensington, W8",954090000,6,House,5,0,Yes,-,Yes,Band: TBC
549,"Wycombe Square,London",954090000,5,End of Terrace,5220,0,Back garden,-,Driveway,Ask agent
550,"Chiddingstone Street, London, SW6",318030000,5,Terraced,4,0,Yes,-,Ask agent,Band: G
551,"Albion Riverside, London, SW11.",954090000,6,Apartment,7,6000,Ask agent,"TENURE
Leasehold",Yes,Band: E
552,"The W1 London, Marylebone High Street, London, W1U",954090000,3,Apartment,3,0,Yes,"TENURE
Leasehold",Yes,Band: H
553,"Holland Park, London",954090000,5,Flat,4,4000,Yes,"TENURE
Share of Freehold",Ask agent,Band: TBC
554,"South Audley Street, Mayfair, W1K",954090000,6,Flat,7,0,Ask agent,-,Ask agent,Ask agent
555,"Cheyne Walk, London, SW10",954090000,8,Terraced,5,5000,Yes,-,Yes,Band: H
556,"Lower Addison Gardens, London, W14",954090000,6,Terraced,6,4000,Yes,-,Ask agent,Band: H
557,"Kensington Square, London, W8",953559950,5,Terraced,3,3000,Yes,-,Ask agent,Band: H
558,"Whistler Square, London, SW1W",948789500,3,Duplex,4,2000,Yes,-,Ask agent,Ask agent
559,"Gloucester Gate, London, NW1",948789500,5,Terraced,5,4000,Ask agent,"TENURE
Leasehold",Yes,Ask agent
560,"Cheyne Place, Chelsea, London, SW3",948789500,8,End of Terrace,6,4000,Yes,-,Ask agent,Band: H
561,"Wilton Street, London, SW1X",948789500,4,End of Terrace,3,2000,Ask agent,-,Ask agent,Band: TBC
562,"Cheyne Place, London, SW3",948789500,8,Detached,6,4000,Yes,-,Ask agent,Ask agent
563,"Warwick Gardens, London",948789500,6,End of Terrace,7,5000,Yes,-,Yes,Band: H
564,"Gloucester Gate, Regent's Park, London, NW1",948789500,5,Terraced,5,4000,Ask agent,"TENURE
Leasehold",Yes,Band: H
565,"Soho Square, London, W1D",948789500,6,Town House,4,6000,Yes,-,Ask agent,Ask agent
566,"Radnor Place, London, W2",948789500,4,House,4,4000,Yes,-,Ask agent,Ask agent
567,"Sutherland Avenue, London, W9",948789500,7,Terraced,6,4000,"Private garden,",-,Ask agent,Ask agent
568,"Cadogan Square, London, SW1X",948789500,3,Penthouse,3,3000,Yes,"TENURE
Share of Freehold","Private,",Ask agent
569,"Warwick Gardens, London, W14",948789500,6,Semi-Detached,4,5000,Yes,-,Yes,Band: H
570,"Chesham Street, SW1X",948789500,3,Apartment,3,2000,Yes,"TENURE
Share of Freehold",Yes,Band: H
571,"Gloucester Gate, Regent's Park, London, NW1",948789500,5,Terraced,5,4000,Yes,"TENURE
Leasehold",Yes,Band: H
572,"Chesham Street, Belgravia, SW1X",948789500,3,Apartment,4,2000,Yes,"TENURE
Share of Freehold",Ask agent,Band: H
573,"Brook Street, Mayfair, W1K",948789500,3,Apartment,3,2000,Ask agent,"TENURE
Leasehold",Ask agent,Band: H
574,"Compton Avenue, N6",948789500,6,Detached,6,6000,Yes,-,Yes,Ask agent
575,"Gatcombe Road, Bristol",16431550,1,Apartment,1,0,Ask agent,"TENURE
Leasehold",Off street,Band: A
576,"Horse Race Lane, Failand, North Somerset, BS8",503547500,7,Detached,5,9000,Yes,-,Yes,Band: H
577,"Grove Road Coombe Dingle, Bristol, BS9",423509950,8,Detached,7,8000,Yes,-,Yes,Band: G
578,"West Mall, Clifton, Bristol, BS8",312729500,6,Terraced,4,4000,Yes,-,Ask agent,Band: G
579,"Cooks Folly Road, Sneyd Park, Bristol, BS9",302128500,5,Semi-Detached,3,6000,Yes,-,Yes,Band: H
580,"Canynge Square, Clifton, Bristol, BS8",280926500,4,Detached,3,4000,Yes,-,Yes,Band: H
581,"Apsley Road, Clifton, Bristol, BS8",265025000,6,End of Terrace,6,4000,Yes,-,Yes,Band: G
583,"Pembroke Road, Clifton, Bristol, BS8",249123500,8,Terraced,3,4000,Yes,-,Yes,Band: G
584,"Caledonia Place, Clifton, Bristol, BS8",243823000,7,Terraced,4,0,Yes,-,Ask agent,Band: G
585,"The Paragon, Clifton, Bristol, BS8",212020000,5,End of Terrace,2,3000,Yes,-,Yes,Band: H
586,"Hurle Crescent, Bristol, BS8",212020000,9,Semi-Detached,4,4000,Yes,-,Yes,Band: G
587,"Windsor Terrace, Clifton",212020000,7,Terraced,4,0,Yes,-,Yes,Band: G
588,"Windsor Terrace, Clifton, Bristol, BS8",212020000,8,Terraced,3,4000,Yes,-,Yes,Band: G
589,"Manor Road, Abbots Leigh, Bristol, BS8",212020000,5,House,2,4000,Yes,-,Yes,Band: G
590,"Church Road, Stoke Bishop, Bristol, BS9",212020000,4,Detached,3,2000,Yes,-,Yes,Band: H
591,Downs Park West | Westbury Park,212020000,6,Detached,4,0,Yes,-,Yes,Band: G
592,"Bridge Road, Leigh Woods, Bristol, BS8",211489950,3,Penthouse,2,2000,Yes,"TENURE
Leasehold",Yes,Band: F
593,"The Manor House, Church Road, Bishopsworth, Bristol",206719500,8,House,3,0,Yes,-,Yes,Band: G
594,Kensington Place | Clifton,200888950,6,Town House,3,0,Yes,-,Ask agent,Band: G
595,House and separate cottage | St. Michaels Hill | Kingsdown,196118500,6,Detached,4,0,Yes,-,Yes,Band: G
596,"St. Michaels Hill, Kingsdown, Bristol, BS2",196118500,5,Detached,2,2000,Yes,-,Yes,Band: G
597,"Yanley Lane, Long Ashton, North Somerset, BS41",190287950,5,Detached,2,5000,Yes,-,Yes,Band: G
598,"Richmond Park Road, Clifton, Bristol, BS8",190287950,5,Semi-Detached,3,3000,Yes,-,Yes,Band: G
600,"Hallen close, Emersons Green",21202000,1,Flat,1,474000,Ask agent,-,Yes,Ask agent
601,Parrys Lane | Stoke Bishop,185517500,6,Detached,2,0,Yes,-,Yes,Band: G
602,Somerset Street | Kingsdown,185517500,6,Town House,4,0,Yes,-,Yes,Band: G
603,"Church Road, Abbots Leigh, Bristol, BS8",180217000,4,Detached,3,0,Yes,-,Yes,Ask agent
604,"Royal Park, Clifton, Bristol, BS8",179686950,5,Terraced,3,2000,Yes,-,Yes,Band: G
605,"Bridge House, Sion Place, Bristol, BS8",179686950,3,Penthouse,3,1000,Ask agent,"TENURE
Leasehold",Yes,Band: H
606,"Grange Road, Clifton, Bristol, BS8",164315500,5,Terraced,3,3000,Yes,-,Yes,Band: G
607,"Salisbury Road, Redland, Bristol, BS6",164315500,5,Semi-Detached,3,2000,Yes,-,Yes,Band: F
609,"Eastfield, Bristol, BS9",159015000,6,Detached,3,3000,Private garden,-,"Garage,",Band: G
610,"Burlington Road, Redland, Bristol, BS6",159015000,5,Terraced,2,3000,Yes,-,Yes,Band: G
611,"Clanage Road, Bower Ashton,Bristol, BS3",159015000,5,House,2,3000,Yes,-,Yes,Band: F
612,"Parrys Lane, Stoke Bishop, Bristol, BS9",153714500,5,Detached,3,2000,Yes,-,Yes,Band: G
613,"Pitchcombe Gardens, Bristol, BS9",153714500,5,Detached,3,0,Yes,-,Yes,Band: G
614,"Hope Square, Bristol, BS8",153714500,6,Terraced,3,0,Yes,-,Yes,Band: G
615,"Pitchcombe Gardens, Coombe Dingle, Bristol, BS9",153714500,5,Detached,3,3000,Yes,-,Yes,Band: G
616,Westbury Road | Henleaze,150004150,6,Semi-Detached,3,0,Yes,-,Yes,Band: G
617,"Sommerville Road, Bristol",148414000,6,Terraced,3,2000,Yes,-,Yes,Ask agent
618,Downs Park West | Westbury Park,148414000,7,Semi-Detached,3,0,Yes,-,Yes,Ask agent
619,"Burlington Road, Redland, Bristol, BS6",148414000,6,End of Terrace,4,3000,Yes,-,Ask agent,Band: F
620,"Canynge Square, Clifton",147883950,5,Town House,2,0,Ask agent,-,Ask agent,Band: G
621,"Henbury Road, Westbury-on-Trym, Bristol, BS9",143113500,4,Detached,2,0,Yes,-,Yes,Band: G
622,Henleaze Gardens | Henleaze,143113500,5,Semi-Detached,3,0,Yes,-,Ask agent,Band: G
623,"Cheyne Road, Stoke Bishop",143113500,4,Detached,2,0,Yes,-,Yes,Band: G
624,"Tottenham Place, Clifton, Bristol, BS8",143113500,5,Town House,4,3000,Yes,-,Yes,Band: G
625,"Greville Street, Southville, Bristol",35513350,2,Coach House,1,0,Ask agent,-,Ask agent,Ask agent
626,"Queens Gate, Bristol, BS9",143113500,5,Detached,3,2000,Private garden,-,"Garage,",Band: G
627,"Hope Square, Bristol, BS8",143113500,5,Terraced,21942933,0,Yes,-,Yes,Band: G
628,"Sion Place, Clifton, Bristol, BS8",143113500,2,Flat,2,1000,Ask agent,"TENURE
Share of Freehold",Yes,Band: E
629,St Oswalds Road | Redland,140463250,4,Semi-Detached,2,0,Yes,-,Yes,Band: F
630,"Tailors Court, Bristol, BS1",137813000,9,Semi-Detached,4,0,Ask agent,-,Yes,Band: D
631,"Court House, Tailors Court, Bristol",137813000,9,End of Terrace,5,0,Ask agent,-,Off street,Ask agent
632,"Tailors Court, Bristol",137813000,9,End of Terrace,4,0,Ask agent,-,Yes,Band: D
633,"Broadway Road, West Bishopston, Bistol",137282950,5,Semi-Detached,3,2000,Yes,-,Yes,Band: F
635,"Coldharbour Road, Bristol, BS6",132512500,4,Semi-Detached,3,2000,Yes,-,Yes,Band: F
636,"Parrys Lane, Bristol, BS9",132512500,5,End of Terrace,3,2000,Yes,-,Yes,Band: F
637,Zetland Road | Redland,132512500,5,Semi-Detached,1,0,Yes,-,Yes,Band: E
638,"Alma Road, Clifton, Bristol, BS8",132512500,5,Terraced,2,0,Yes,-,Yes,Band: F
639,"Windsor Road, St Andrews, Bristol",132512500,4,Semi-Detached,2,1000,Yes,"TENURE
Leasehold",Driveway,Band: E
640,Sydenham Road | Cotham,132512500,5,Terraced,3,0,Yes,-,Yes,Band: F
642,"Pembroke Road, Clifton, Bristol, BS8",132512500,5,Terraced,3,0,Yes,-,Yes,Band: G
645,"Miners Close, Long Ashton",127212000,4,Detached,3,0,Yes,-,Yes,Band: G
646,"Whiteladies Road, Clifton, Bristol",127212000,6,Block of Apartments,3,0,Ask agent,-,Ask agent,Ask agent
647,"Tottenham Place, Bristol, Somerset, BS8 1AJ",127212000,6,Terraced,3,0,Yes,-,On street,Band: G
648,"Sandy Lane, Lower Failand, Bristol, BS8",127212000,5,Detached,3,0,Yes,-,Yes,Band: G
649,"Parrys Lane, Bristol, BS9",127212000,5,Terraced,4,0,Yes,-,Yes,Band: F
650,"Wroughton Drive, Hartcliffe, Bristol, BS13",19611850,2,Flat,1,0,Ask agent,"TENURE
Leasehold",Yes,Band: A
651,"Tottenham Place, Bristol, BS8",127212000,6,Terraced,3,3000,Yes,-,Ask agent,Band: G
652,"Henleaze Road, Henleaze, Bristol, BS9",127212000,5,Semi-Detached,3,2000,Yes,-,Yes,Band: G
653,Pembroke Road | Clifton,127212000,6,End of Terrace,4,0,Yes,-,Yes,Band: G
654,Exeter Buildings | Redland,126681950,5,Terraced,1,0,Yes,-,Ask agent,Band: G
655,Upper Belgrave Road | Cllifton,124561750,4,Town House,2,0,Yes,-,Ask agent,Band: G
656,"The Lodge, Carriage Drive, BS10 6TE",121911500,5,Detached,3,0,Yes,-,Yes,Ask agent
657,"High Street, Bristol",121911500,12,Block of Apartments,6,0,Ask agent,-,Yes,Band: B
659,"Holmes Grove, Bristol, BS9.",121911500,6,Detached,3,0,Yes,-,Yes,Band: G
660,"West Coombe, Stoke Bishop",121911500,4,Detached,2,0,Yes,-,Yes,Ask agent
661,Harcourt Road | Redland,121911500,5,End of Terrace,3,0,Yes,-,Yes,Band: D
662,"Broadway Road, West Bishopston, Bristol",116611000,5,Semi-Detached,2,0,Yes,-,"Driveway,",Ask agent
663,"Ravenswood Road, Bristol, BS6",116611000,5,Semi-Detached,3,0,Yes,-,Yes,Band: F
664,"Victoria Walk, Bristol",116611000,6,House,4,0,Yes,-,Yes,Band: E
665,"Passage Road, Westbury-On-Trym",116080950,5,Detached,5,0,Yes,-,Yes,Ask agent
666,"The Avenue, Clifton, Bristol, BS8",116080950,3,Terraced,3,1000,Yes,-,Yes,Band: F
667,"Brynland Avenue, Bristol, BS7",116080950,4,Semi-Detached,3,1000,"Patio,",-,"Driveway,",Ask agent
668,Briarwood | Westbury on Trym,113960750,4,Semi-Detached,2,0,Yes,-,Yes,Band: E
669,Clevedon Road | Failand,111310500,4,Terraced,2,0,Yes,-,Yes,Band: G
670,"Kersteman Road, Bristol, BS6 7BX",111310500,4,House,2,0,Yes,-,Yes,Ask agent
671,"Dundonald Road, Redland, Bristol, BS6",111310500,6,Semi-Detached,20572601,0,Yes,-,Yes,Band: F
672,"Sommerville Road, St Andrews, Bristol",106010000,6,Semi-Detached,2,0,Yes,-,"Garage,",Ask agent
673,"Winstones Road, Bristol, BS48",106010000,6,Detached,4,2000,Yes,-,Yes,Band: F
674,"Dingle Road, Bristol, BS9",106010000,4,Detached,3,0,Yes,-,Yes,Band: E
675,"Elm Road, Kingswood, Bristol, Gloucestershire, BS15",31803000,3,End of Terrace,1,0,Ask agent,"TENURE
Leasehold",Ask agent,Band: C
676,Waterford Road | Henleaze,106010000,3,Semi-Detached,2,0,Yes,-,Yes,Band: E
677,"Filton Road, Hambrook, Bristol, South Gloucestershire, BS16",106010000,5,Detached,3,0,Yes,-,Yes,Band: F
678,"Manor Road, Abbots Leigh, Bristol, BS8",105479950,4,Semi-Detached,2,1000,Yes,-,Yes,Band: E
679,"Stoke Hill, Stoke Bishop, Bristol, BS9",105479950,4,Semi-Detached,2,2000,Yes,-,Yes,Ask agent
680,"Wells Road , Whitchurch , Bristol, BS14 9HS",105479950,4,Detached,2,0,Yes,-,Yes,Band: G
681,"Ravenswood Road, Bristol, BS6",105479950,5,Semi-Detached,2,1000,Private garden,-,Ask agent,Band: E
682,Elliston Road | Redland,105479950,4,Maisonette,3,0,Yes,-,Yes,Band: E
683,"Cromwell Road, St Andrews, Bristol",105479950,5,Semi-Detached,3,0,Yes,-,"Driveway,",Band: E
684,"Lime Kiln Road, Bristol, BS8",104949900,3,Flat,3,1000,Ask agent,"TENURE
Leasehold",Yes,Band: F
685,"Hencliffe Wood, Hanham, Bristol, BS15",104419850,3,Detached,2,0,Yes,-,Yes,Band: E
686,"Royal York Crescent, Bristol, BS8",103889800,3,Flat,3,1000,Yes,"TENURE
Leasehold",Residents,Ask agent
687,"Coombe Bridge Avenue, Bristol",103889800,4,Detached,2,0,Yes,-,Yes,Band: F
688,"Theynes Croft, Long Ashton, Bristol, North Somerset, BS41",103359750,5,Detached,5,0,Yes,-,Yes,Band: F
689,Wetherell Place | Clifton,103359750,3,Ground Maisonette,3,0,Yes,"TENURE
Share of Freehold",Yes,Band: C
690,"Downs Cote Drive, Westbury On Trym, Bristol, BS9",103359750,4,Detached,2,0,Yes,-,Yes,Band: F
691,Kingsmill | Stoke Bishop,103359750,4,Detached,2,0,Yes,-,Yes,Band: G
692,"Woodlands, Hanham Abbots",103359750,4,Detached,2,0,Yes,-,Yes,Band: F
693,"Shortwood Road, Pucklechurch, Bristol, Gloucestershire, BS16",102829700,4,Detached,3,0,Yes,-,Yes,Band: F
694,"Birchall Road, Redland, Bristol, BS6",100709500,5,Semi-Detached,1,1000,Yes,-,Yes,Band: E
695,"Clare Avenue, Bristol, BS7 8JF",100709500,5,Semi-Detached,2,0,Yes,-,Yes,Band: E
696,"Alexandra Park, Redland, Bristol, BS6 6QB",100709500,4,Semi-Detached,1,0,Yes,-,Ask agent,Band: F
697,Parrys Lane | Stoke Bishop,100709500,5,Semi-Detached,2,0,Yes,-,Yes,Band: F
698,"Reedley Road, Westbury on Trym, Bristol",100709500,4,Semi-Detached,3,0,Yes,-,Yes,Ask agent
699,"Bathurst Parade, Bristol, BS1",100709500,4,Terraced,2,1000,Ask agent,-,Yes,Band: G
700,"Manor Gardens, Bristol",53005000,3,Semi-Detached,3,0,Yes,-,Ask agent,Band: TBC
701,"Upper Belmont Road, Bishopston, Bristol",100709500,5,End of Terrace,3,2000,Yes,-,Yes,Band: D
702,"Southfield Road, Cotham, Bristol, BS6",100709500,4,House,4,0,Ask agent,-,Yes,Band: TBC
703,"Abbotsford Road, Redland, Bristol, BS6",100709500,5,Semi-Detached,3,0,Yes,-,Yes,Ask agent
704,"Richmond Road, Montpelier, Bristol, BS6",100709500,5,Terraced,3,0,Yes,-,Yes,Band: D
705,Cranbrook Road | Redland,100709500,4,Semi-Detached,3,0,Yes,-,Yes,Band: E
706,Balmoral Road | St Andrews,100709500,5,Semi-Detached,1,0,Yes,-,Ask agent,Band: E
707,"Elmlea Avenue, Westbury on Trym, Bristol, BS9",100179450,4,Detached,2,0,Yes,-,Yes,Ask agent
708,"Somerset Street, Kingsdown, Bristol, BS2",99119350,4,Terraced,2,1000,Yes,-,Yes,Band: E
709,Kennington Avenue | Bishopston,99119350,5,End of Terrace,3,0,Yes,-,Yes,Band: D
710,"Codrington Road, Bishopston, Bristol",98059250,5,Terraced,2,1000,Yes,-,Ask agent,Band: E
711,"Broadfield Road, Bristol",98059250,6,Semi-Detached,3,3000,Yes,-,Yes,Band: F
712,"Eastnor House, Sheepwood Road, Bristol",98059250,4,Detached,2,0,Yes,-,Yes,Ask agent
713,St Helena Road | Westbury Park,98059250,5,Terraced,2,0,Yes,-,Ask agent,Band: E
714,"Camden Terrace, Clifton, BRISTOL, BS8",98059250,4,Terraced,2,0,Yes,-,Ask agent,Band: F
715,"North Road, St. Andrews, Bristol, BS6",98059250,6,End of Terrace,3,0,Yes,-,Yes,Band: TBC
716,"St. Pauls Road, Clifton, Bristol, BS8",98059250,6,Terraced,2,1000,Yes,-,Yes,Band: F
717,Clifton Wood Crescent | Cliftonwood,96999150,4,Town House,2,0,Yes,-,Ask agent,Band: E
718,"Camden Terrace, Clifton, Bristol, BS8",95939050,4,House,2,1000,Yes,-,Ask agent,Band: F
719,"Christmas Steps, Bristol, BS1",95409000,3,House,2,0,Yes,-,Ask agent,Band: B
720,"Montague Hill, Kingsdown",95409000,4,Terraced,3,0,Yes,-,Yes,Band: E
721,Cranbrook Road | Redland,95409000,5,Semi-Detached,1,0,Yes,-,Yes,Band: F
722,"Shortwood Hill, Mangotsfield, Bristol",95409000,7,Character Property,5,0,Yes,-,Yes,Band: E
723,"Long Ashton Road, Long Ashton, Bristol, North Somerset, BS41",95409000,4,Detached,2,0,Yes,-,Yes,Band: E
724,"Redland Hill, Bristol, BS6",95409000,2,Apartment,1155,0,Yes,"TENURE
Leasehold",Ask agent,Ask agent
725,"Strathmore Road, Ashley Down, Bristol",50354750,3,House,2,0,Yes,"TENURE
Leasehold",Ask agent,Band: B
726,"Downs Park East, Bristol, BS6",95409000,5,Terraced,2,0,Yes,-,Ask agent,Band: F
727,"36 Canynge Square, Clifton, Bristol, BS8",95409000,3,Maisonette,2,2000,Yes,"TENURE
Share of Freehold",Ask agent,Band: E
728,"Orchard Lane, Bristol, BS1",95409000,4,House,2,0,Yes,-,Yes,Band: G
729,"Crossleaze Road, Hanham, Bristol, BS15",95403699,4,Detached,2,0,Yes,-,Yes,Band: F
730,"Scotland House Farm, Stockwood Road, Bristol",94878950,3,House,2,0,Yes,-,Yes,Band: D
731,"Kennington Avenue, Bristol",94878950,5,End of Terrace,3,1000,Yes,-,Yes,Ask agent
732,"Redland Hill, Redland, Bristol, BS6",94878950,3,Apartment,2,0,Yes,-,Yes,Band: TBC
733,"Chapter Walk, Redland, Bristol, BS6 6WA",94878950,4,End of Terrace,3,0,Yes,"TENURE
Leasehold",Yes,Band: F
734,"Kersteman Quarter, Bishopston, Bristol",94878950,4,House,3,1000,Yes,-,Yes,Ask agent
735,"Kellaway Avenue, Henleaze, Bristol",93818850,4,Detached,3,1000,Yes,-,Yes,Band: E
736,"Highlands Road, Long Ashton, Bristol, North Somerset, BS41",93288800,4,Detached,2,0,Yes,-,Yes,Band: F
737,Redland Hill Redland Bristol BS6 6BJ,93288800,3,Retirement Property,2,1000,Communal garden,"TENURE
Leasehold","Private,",Ask developer
738,"Westfield Grove, Westbury on Trym, Bristol",92758750,5,Detached,3,0,Yes,-,Yes,Ask agent
739,Wellington Park | Clifton,92758750,4,Semi-Detached,1,0,Yes,-,Yes,Band: F
740,"Bury Hill View, Downend, Bristol, Gloucestershire",92228700,5,Detached,5,2000,Yes,-,Yes,Band: F
741,"Bellevue Crescent, Bristol",92228700,5,End of Terrace,2,0,Yes,-,Ask agent,Band: D
742,"Oakwood Road, Bristol, BS9",91698650,4,Semi-Detached,1,0,Yes,-,Yes,Band: F
743,"Cedar Park, Stoke Bishop, Bristol, BS9",91698650,5,Semi-Detached,2,1000,Yes,-,Yes,Band: E
744,"Cedar Park, Stoke Bishop",91168600,3,Detached,2,0,Yes,-,Yes,Ask agent
745,"Birchwood Road, Bristol, BS4",90108500,5,Detached Bungalow,2,0,Private garden,-,Driveway,Band: D
746,"School Lane, Barrow Gurney, North Somerset, BS48",90108500,4,Detached,2,1000,Yes,-,Yes,Band: F
747,Sefton Park Road | Bishopston,90108500,4,Terraced,3,0,Yes,-,Ask agent,Band: D
748,Kings Drive | Bishopston,90108500,4,End of Terrace,1,0,Yes,-,Yes,Band: E
749,Linden Road | Westbury Park,90108500,3,Semi-Detached,2,0,Yes,-,Yes,Band: D
750,"Aubretia Road, Lyde Green, Bristol, Gloucestershire",53005000,4,Detached,2,1000,Yes,-,Yes,Ask agent
751,"Druid Hill, Stoke Bishop, Bristol",90108500,5,Detached,2,0,Yes,-,Yes,Ask agent
752,Theresa Avenue | Bishopston,90108500,5,Terraced,3,0,Yes,-,Ask agent,Band: E
753,Elton Road | Bishopston,90108500,4,Terraced,1,0,Yes,-,Ask agent,Band: E
754,"Hotwell Road, Bristol, Somerset, BS8",90108500,5,Terraced,3,0,Yes,-,Yes,Band: TBC
755,"Theynes Croft, Bristol, BS41",90108500,6,Detached,3,0,Yes,-,Yes,Band: G
756,"Passage Road, Bristol",90108500,3,Detached Bungalow,3,0,Yes,-,Yes,Band: E
757,Site | Planning | Gdv £6.7M | BS10,90108500,45,Plot,46,0,-,-,-,-
758,"Brynland Avenue, Bristol, BS7",90108500,4,Semi-Detached,2,0,Yes,-,Yes,Band: TBC
759,"Abbey Road, Bristol",90108500,4,Semi-Detached,2,0,Yes,-,Yes,Band: E
760,"Bathurst Parade, Bristol",90108500,4,End of Terrace,2,1000,Private garden,-,Off street,Band: G
763,"Howard Road, Westbury Park, Bristol, BS6",89578450,5,Terraced,2,0,Yes,-,Ask agent,Band: D
764,"Richmond Road, Montpelier, Bristol",89578450,5,Town House,2,0,Yes,-,Driveway,Band: D
765,"Parrys Close, Bristol, BS9",89578450,4,Detached,2,1000,Yes,-,Yes,Band: F
766,"Russell Road, Westbury Park, Bristol, BS6",89048400,4,Terraced,2,0,Yes,-,Ask agent,Band: E
767,"Wimbledon Road, Bristol, BS6",89048400,4,Semi-Detached,2,0,Yes,"TENURE
Leasehold",Yes,Band: TBC
768,"Berkeley Road, Bishopston, BS7",87458250,5,Semi-Detached,3,0,Yes,-,Yes,Band: E
769,"The Crescent, Henleaze, Bristol, Somerset, BS9",87458250,4,Detached,1,0,Yes,-,Yes,Band: F
770,"Laurie Crescent, Henleaze, Bristol",87458250,4,Semi-Detached,2,1000,Yes,-,Yes,Band: D
771,"Long Ashton Road, Long Ashton, Bristol, North Somerset, BS41",87458250,4,Detached,2,0,Yes,-,Yes,Band: E
772,Large Plot In Side Road Position Close To Cribbs Causeway,87458250,5,Detached,2,0,Yes,-,Yes,Ask agent
773,"Elm Lane, Redland, Bristol",87458250,5,Terraced,2,1000,Yes,-,Yes,Ask agent
774,"Falcondale Road, Westbury-On-Trym",87458250,4,Detached,2,0,Yes,-,Yes,Ask agent
775,"Belle Vue Road, Bristol, BS5",45054250,3,Terraced,1,0,Yes,-,Ask agent,Ask agent
776,"Monmouth Road, Bishopston",87458250,4,House,4,1000,Yes,-,Ask agent,Band: D
777,"Devonshire Road, Bristol, BS6",87458250,5,Town House,1,0,Yes,-,Ask agent,Band: E
778,"The Crescent, Henleaze, Bristol, BS9",87458250,4,Detached,1,0,Yes,-,Yes,Band: F
779,"York Road, Montpelier, Bristol",87458250,4,Town House,2,1000,Yes,-,Ask agent,Band: C
780,"Nevil Road, Bishopston, Bristol",87458250,6,Semi-Detached,3,2000,Yes,-,Yes,Band: E
782,"Cavendish Gardens, Sneyd Park, Bristol, BS9",86398150,4,Detached,2,1000,Yes,-,Yes,Band: G
783,"Cobourg Road, Bristol, BS6",84808000,3,Terraced,2,0,Yes,-,Ask agent,Band: C
784,"Cranbrook Road, Bristol, BS6",84808000,4,Detached,2,0,Yes,-,Yes,Band: TBC
785,Upper Belgrave Road | Clifton,84808000,3,Terraced,2,0,Ask agent,"TENURE
Share of Freehold",Yes,Band: E
786,"Wells Road, Bristol, BS14",84808000,5,Detached,3,2000,"Rear garden,",-,Driveway,Band: D
787,"Park Road, Stapleton, Bristol",84808000,4,Detached,2,0,Yes,-,Yes,Band: E
